Model parameters : 76,109,685
batch:  660/ 885, loss: 0.1263, cer: 0.93, elapsed: 10.07s 10.98m 0.18h
batch:  670/ 885, loss: 0.1260, cer: 0.93, elapsed: 10.00s 11.15m 0.19h
batch:  680/ 885, loss: 0.1256, cer: 0.93, elapsed: 9.99s 11.32m 0.19h
batch:  690/ 885, loss: 0.1252, cer: 0.93, elapsed: 9.92s 11.48m 0.19h
batch:  700/ 885, loss: 0.1248, cer: 0.93, elapsed: 9.99s 11.65m 0.19h
batch:  710/ 885, loss: 0.1245, cer: 0.93, elapsed: 9.48s 11.81m 0.20h
batch:  720/ 885, loss: 0.1241, cer: 0.92, elapsed: 10.15s 11.97m 0.20h
batch:  730/ 885, loss: 0.1237, cer: 0.92, elapsed: 10.34s 12.15m 0.20h
batch:  740/ 885, loss: 0.1233, cer: 0.92, elapsed: 9.78s 12.31m 0.21h
batch:  750/ 885, loss: 0.1230, cer: 0.92, elapsed: 9.65s 12.47m 0.21h
batch:  760/ 885, loss: 0.1227, cer: 0.92, elapsed: 10.26s 12.64m 0.21h
batch:  770/ 885, loss: 0.1223, cer: 0.91, elapsed: 9.96s 12.81m 0.21h
batch:  780/ 885, loss: 0.1221, cer: 0.91, elapsed: 9.89s 12.97m 0.22h
batch:  790/ 885, loss: 0.1217, cer: 0.91, elapsed: 10.16s 13.14m 0.22h
batch:  800/ 885, loss: 0.1213, cer: 0.91, elapsed: 9.90s 13.31m 0.22h
batch:  810/ 885, loss: 0.1211, cer: 0.91, elapsed: 9.95s 13.47m 0.22h
batch:  820/ 885, loss: 0.1208, cer: 0.91, elapsed: 10.26s 13.64m 0.23h
batch:  830/ 885, loss: 0.1205, cer: 0.90, elapsed: 9.39s 13.80m 0.23h
batch:  840/ 885, loss: 0.1202, cer: 0.90, elapsed: 9.80s 13.96m 0.23h
batch:  850/ 885, loss: 0.1199, cer: 0.90, elapsed: 10.04s 14.13m 0.24h
batch:  860/ 885, loss: 0.1196, cer: 0.90, elapsed: 9.65s 14.29m 0.24h
batch:  870/ 885, loss: 0.1193, cer: 0.90, elapsed: 10.09s 14.46m 0.24h
batch:  880/ 885, loss: 0.1190, cer: 0.90, elapsed: 9.29s 14.61m 0.24h
Epoch 0 (Training) Loss 0.1189 CER 0.8955
------------------------------------------------------Epoch 0 (Evaluate) Loss 0.2997 CER 0.8318
batch:    0/ 885, loss: 0.0971, cer: 0.82, elapsed: 1.50s 0.02m 0.33h
batch:   10/ 885, loss: 0.0926, cer: 0.79, elapsed: 10.45s 0.20m 0.33h
batch:   20/ 885, loss: 0.0941, cer: 0.79, elapsed: 10.66s 0.38m 0.34h
batch:   30/ 885, loss: 0.0926, cer: 0.78, elapsed: 10.17s 0.55m 0.34h
batch:   40/ 885, loss: 0.0928, cer: 0.78, elapsed: 10.72s 0.72m 0.34h
batch:   50/ 885, loss: 0.0917, cer: 0.77, elapsed: 10.27s 0.90m 0.34h
batch:   60/ 885, loss: 0.0916, cer: 0.77, elapsed: 10.11s 1.06m 0.35h
batch:   70/ 885, loss: 0.0923, cer: 0.77, elapsed: 9.71s 1.23m 0.35h
batch:   80/ 885, loss: 0.0928, cer: 0.77, elapsed: 9.67s 1.39m 0.35h
batch:   90/ 885, loss: 0.0928, cer: 0.77, elapsed: 10.36s 1.56m 0.36h
batch:  100/ 885, loss: 0.0924, cer: 0.77, elapsed: 10.21s 1.73m 0.36h
batch:  110/ 885, loss: 0.0926, cer: 0.77, elapsed: 9.72s 1.89m 0.36h
batch:  120/ 885, loss: 0.0922, cer: 0.76, elapsed: 10.18s 2.06m 0.36h
batch:  130/ 885, loss: 0.0919, cer: 0.76, elapsed: 9.89s 2.23m 0.37h
batch:  140/ 885, loss: 0.0916, cer: 0.76, elapsed: 10.04s 2.39m 0.37h
batch:  150/ 885, loss: 0.0916, cer: 0.76, elapsed: 10.08s 2.56m 0.37h
batch:  160/ 885, loss: 0.0915, cer: 0.76, elapsed: 9.87s 2.73m 0.37h
batch:  170/ 885, loss: 0.0911, cer: 0.76, elapsed: 10.21s 2.90m 0.38h
batch:  180/ 885, loss: 0.0909, cer: 0.76, elapsed: 9.96s 3.06m 0.38h
batch:  190/ 885, loss: 0.0910, cer: 0.76, elapsed: 9.97s 3.23m 0.38h
batch:  200/ 885, loss: 0.0911, cer: 0.76, elapsed: 10.41s 3.40m 0.39h
batch:  210/ 885, loss: 0.0912, cer: 0.76, elapsed: 9.78s 3.57m 0.39h
batch:  220/ 885, loss: 0.0912, cer: 0.76, elapsed: 9.66s 3.73m 0.39h
batch:  230/ 885, loss: 0.0913, cer: 0.76, elapsed: 9.64s 3.89m 0.39h
batch:  240/ 885, loss: 0.0913, cer: 0.76, elapsed: 9.99s 4.05m 0.40h
batch:  250/ 885, loss: 0.0913, cer: 0.76, elapsed: 10.37s 4.23m 0.40h
batch:  260/ 885, loss: 0.0910, cer: 0.76, elapsed: 10.30s 4.40m 0.40h
batch:  270/ 885, loss: 0.0910, cer: 0.76, elapsed: 10.38s 4.57m 0.41h
batch:  280/ 885, loss: 0.0908, cer: 0.75, elapsed: 9.96s 4.74m 0.41h
batch:  290/ 885, loss: 0.0907, cer: 0.76, elapsed: 10.39s 4.91m 0.41h
batch:  300/ 885, loss: 0.0908, cer: 0.75, elapsed: 9.47s 5.07m 0.41h
batch:  310/ 885, loss: 0.0907, cer: 0.75, elapsed: 10.12s 5.24m 0.42h
batch:  320/ 885, loss: 0.0908, cer: 0.75, elapsed: 10.05s 5.40m 0.42h
batch:  330/ 885, loss: 0.0908, cer: 0.75, elapsed: 10.02s 5.57m 0.42h
batch:  340/ 885, loss: 0.0907, cer: 0.75, elapsed: 10.23s 5.74m 0.42h
batch:  350/ 885, loss: 0.0906, cer: 0.75, elapsed: 10.30s 5.91m 0.43h
batch:  360/ 885, loss: 0.0906, cer: 0.75, elapsed: 9.41s 6.07m 0.43h
batch:  370/ 885, loss: 0.0905, cer: 0.75, elapsed: 9.58s 6.23m 0.43h
batch:  380/ 885, loss: 0.0903, cer: 0.75, elapsed: 9.63s 6.39m 0.44h
batch:  390/ 885, loss: 0.0903, cer: 0.75, elapsed: 9.64s 6.55m 0.44h
batch:  400/ 885, loss: 0.0902, cer: 0.75, elapsed: 9.59s 6.71m 0.44h
batch:  410/ 885, loss: 0.0901, cer: 0.75, elapsed: 10.10s 6.88m 0.44h
batch:  420/ 885, loss: 0.0902, cer: 0.75, elapsed: 9.78s 7.04m 0.45h
batch:  430/ 885, loss: 0.0902, cer: 0.75, elapsed: 9.86s 7.21m 0.45h
batch:  440/ 885, loss: 0.0901, cer: 0.75, elapsed: 9.72s 7.37m 0.45h
batch:  450/ 885, loss: 0.0902, cer: 0.75, elapsed: 9.60s 7.53m 0.45h
batch:  460/ 885, loss: 0.0902, cer: 0.75, elapsed: 9.72s 7.69m 0.46h
batch:  470/ 885, loss: 0.0902, cer: 0.75, elapsed: 9.80s 7.85m 0.46h
batch:  480/ 885, loss: 0.0901, cer: 0.75, elapsed: 10.28s 8.03m 0.46h
batch:  490/ 885, loss: 0.0901, cer: 0.75, elapsed: 9.94s 8.19m 0.47h
batch:  500/ 885, loss: 0.0901, cer: 0.75, elapsed: 9.85s 8.36m 0.47h
batch:  510/ 885, loss: 0.0901, cer: 0.75, elapsed: 9.82s 8.52m 0.47h
batch:  520/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.72s 8.68m 0.47h
batch:  530/ 885, loss: 0.0902, cer: 0.74, elapsed: 9.98s 8.85m 0.48h
batch:  540/ 885, loss: 0.0902, cer: 0.74, elapsed: 10.02s 9.01m 0.48h
batch:  550/ 885, loss: 0.0902, cer: 0.74, elapsed: 9.32s 9.17m 0.48h
batch:  560/ 885, loss: 0.0901, cer: 0.74, elapsed: 10.02s 9.34m 0.48h
batch:  570/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.93s 9.50m 0.49h
batch:  580/ 885, loss: 0.0900, cer: 0.74, elapsed: 9.83s 9.67m 0.49h
batch:  590/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.97s 9.83m 0.49h
batch:  600/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.40s 9.99m 0.50h
batch:  610/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.92s 10.15m 0.50h
batch:  620/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.37s 10.31m 0.50h
batch:  630/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.93s 10.48m 0.50h
batch:  640/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.75s 10.64m 0.51h
batch:  650/ 885, loss: 0.0901, cer: 0.74, elapsed: 10.31s 10.81m 0.51h
batch:  660/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.71s 10.97m 0.51h
batch:  670/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.87s 11.14m 0.51h
